TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
pointRadiusSpatialFit	Location	The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.	The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit	http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit	Point Radius Spatial Fit	string	176	2015-05-06	2015-05-06	kenny	2015-05-06		pointRadiusSpatialFit	publish	pointRadiusSpatialFit	ethocore_term	http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit	Location	The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.	Detailed explanations with graphical examples can be found in the "Guide to Best Practices for Georeferencing", Chapman and Wieczorek, eds. 2006 (http://www.gbif.org/prog/digit/Georeferencing).	Darwin Core	Point Radius Spatial Fit		recommended	2015-05-06	2015-05-06	pointRadiusSpatialFit-2015-05-06
stateProvince	Location	The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.	The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.	Examples: "Montana", "Minas Gerais", "Córdoba"	Examples: "Montana", "Minas Gerais", "Córdoba"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/stateProvince	http://rs.tdwg.org/dwc/terms/stateProvince	State Province	string	153	2015-05-06	2015-05-06	kenny	2015-05-06		stateProvince	publish	stateProvince	ethocore_term	http://rs.tdwg.org/dwc/terms/stateProvince	Location	The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.	Examples: "Montana", "Minas Gerais", "Córdoba"	Darwin Core	State Province		recommended	2015-05-06	2015-05-06	stateProvince-2015-05-06
utmX	Location	The geographic easting (in meters) of the geographic center of a Location. Should be accompanied by the spatial reference system "UTM" given by the geodeticDatum).					Do we need this? YES, I think so as lots of folks record location data this way; it can be converted to LAT and LON, but I think we should accommodate this kind of data and extend Darwin Core		recommended				Ethogrammar		http://ethoinformatics.org/ethocore/utmX	UTM X	number	171	2015-05-06	2015-05-06	kenny	2015-05-06		utmX	publish	utmX	ethocore_term	http://ethoinformatics.org/ethocore/utmX	Location	The geographic easting (in meters) of the geographic center of a Location. Should be accompanied by the spatial reference system "UTM" given by the geodeticDatum).		Ethogrammar	UTM X		recommended	2015-05-06	2015-05-06	utmX-2015-05-06
utmY	Location	The geographic northing (in meters) of the geographic center of a Location. Should be accompanied by the spatial reference system "UTM" given by the geodeticDatum).					Do we need this? YES, I think so as lots of folks record location data this way; it can be converted to LAT and LON, but I think we should accommodate this kind of data and extend Darwin Core		recommended				Ethogrammar		http://ethoinformatics.org/ethocore/utmY	UTM Y	number	172	2015-05-06	2015-05-06	kenny	2015-05-06		utmY	publish	utmY	ethocore_term	http://ethoinformatics.org/ethocore/utmY	Location	The geographic northing (in meters) of the geographic center of a Location. Should be accompanied by the spatial reference system "UTM" given by the geodeticDatum).		Ethogrammar	UTM Y		recommended	2015-05-06	2015-05-06	utmY-2015-05-06
utmZone	Location	The UTM zone upon which the geographic coordinates given in utmX and utmY are based. Recommended best practice is to specify the hemisphere by appending "North" for the northern hemisphere or "South" for the southern hemisphere, or to specify the latitude band.					Do we need this? YES, I think so as lots of folks record location data this way; it can be converted to LAT and LON, but I think we should accommodate this kind of data and extend Darwin Core		recommended				Ethogrammar		http://ethoinformatics.org/ethocore/utmZone	UTM Zone	string	173	2015-05-06	2015-05-06	kenny	2015-05-06		utmZone	publish	utmZone	ethocore_term	http://ethoinformatics.org/ethocore/utmZone	Location	The UTM zone upon which the geographic coordinates given in utmX and utmY are based. Recommended best practice is to specify the hemisphere by appending "North" for the northern hemisphere or "South" for the southern hemisphere, or to specify the latitude band.		Ethogrammar	UTM Zone		recommended	2015-05-06	2015-05-06	utmZone-2015-05-06
verbatimCoordinates	Location	The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	Examples: "41 05 54S 121 05 34W", "17T 630000 4833400"	Examples: "41 05 54S 121 05 34W", "17T 630000 4833400"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimCoordinates	http://rs.tdwg.org/dwc/terms/verbatimCoordinates	Verbatim Coordinates	string	177	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimCoordinates	publish	verbatimCoordinates	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimCoordinates	Location	The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	Examples: "41 05 54S 121 05 34W", "17T 630000 4833400"	Darwin Core	Verbatim Coordinates		recommended	2015-05-06	2015-05-06	verbatimCoordinates-2015-05-06
verbatimCoordinateSystem	Location	The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.	The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.	Examples: "decimal degrees", "degrees decimal minutes", "degrees minutes seconds", "UTM"	Examples: "decimal degrees", "degrees decimal minutes", "degrees minutes seconds", "UTM"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem	http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem	Verbatim Coordinate System	string	180	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimCoordinateSystem	publish	verbatimCoordinateSystem	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem	Location	The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.	Examples: "decimal degrees", "degrees decimal minutes", "degrees minutes seconds", "UTM"	Darwin Core	Verbatim Coordinate System		recommended	2015-05-06	2015-05-06	verbatimCoordinateSystem-2015-05-06
verbatimDepth	Location	The original description of the depth below the local surface.	The original description of the depth below the local surface.	Example: "100-200 m"	Example: "100-200 m"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimDepth	http://rs.tdwg.org/dwc/terms/verbatimDepth	Verbatim Depth	string	163	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimDepth	publish	verbatimDepth	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimDepth	Location	The original description of the depth below the local surface.	Example: "100-200 m"	Darwin Core	Verbatim Depth		recommended	2015-05-06	2015-05-06	verbatimDepth-2015-05-06
verbatimElevation	Location	The original description of the elevation (altitude, usually above sea level) of the Location.	The original description of the elevation (altitude, usually above sea level) of the Location.	Example: "100-200 m"	Example: "100-200 m"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimElevation	http://rs.tdwg.org/dwc/terms/verbatimElevation	Verbatim Elevation	number	160	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimElevation	publish	verbatimElevation	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimElevation	Location	The original description of the elevation (altitude, usually above sea level) of the Location.	Example: "100-200 m"	Darwin Core	Verbatim Elevation		recommended	2015-05-06	2015-05-06	verbatimElevation-2015-05-06
verbatimLatitude	Location	The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	Example: "41 05 54.03S"	Example: "41 05 54.03S"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimLatitude	http://rs.tdwg.org/dwc/terms/verbatimLatitude	Verbatim Latitude	string	178	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimLatitude	publish	verbatimLatitude	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimLatitude	Location	The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	Example: "41 05 54.03S"	Darwin Core	Verbatim Latitude		recommended	2015-05-06	2015-05-06	verbatimLatitude-2015-05-06
